Region	Month of Period End	Median Sale Price	Median Sale Price MoM 	Median Sale Price YoY 	Homes Sold	Homes Sold MoM 	Homes Sold YoY 	New Listings	New Listings MoM 	New Listings YoY 	Inventory	Inventory MoM 	 Inventory YoY 	Days on Market	Days on Market MoM	Days on Market YoY	Average Sale To List	Average Sale To List MoM 	Average Sale To List YoY 
"San Antonio, TX"	2/1/2012	$143K	5.40%	2.70%	802	25.30%	14.90%	"1,346"	14.40%	9.30%	"4,737"	-0.60%	-16.10%	79	-1	-5	96.10%	0.30%	0.00%
"San Antonio, TX"	3/1/2012	$146K	2.30%	4.80%	"1,040"	29.70%	5.90%	"1,652"	22.70%	-5.40%	"4,837"	2.10%	-16.60%	78	-1	-15	96.30%	0.20%	0.00%
"San Antonio, TX"	4/1/2012	$149K	2.10%	4.20%	"1,075"	3.40%	14.10%	"1,604"	-2.90%	-4.10%	"4,892"	1.10%	-17.50%	58	-20	-14	96.70%	0.30%	0.00%
"San Antonio, TX"	5/1/2012	$153K	2.70%	4.80%	"1,203"	11.90%	8.30%	"1,679"	4.70%	4.00%	"4,948"	1.10%	-16.60%	49	-9	-22	96.60%	-0.10%	0.10%
"San Antonio, TX"	6/1/2012	$158K	3.50%	6.10%	"1,272"	5.70%	6.00%	"1,601"	-4.60%	4.50%	"4,973"	0.50%	-15.40%	48	-1	-13	97.40%	0.80%	0.50%
"San Antonio, TX"	7/1/2012	$155K	-2.10%	3.30%	"1,204"	-5.30%	12.40%	"1,580"	-1.30%	1.90%	"5,044"	1.40%	-12.90%	49	1	-18	97.10%	-0.30%	0.20%
"San Antonio, TX"	8/1/2012	$150K	-3.20%	4.90%	"1,289"	7.10%	16.30%	"1,436"	-9.10%	4.30%	"4,904"	-2.80%	-12.10%	54	5	-15	96.50%	-0.60%	-0.30%
"San Antonio, TX"	9/1/2012	$147K	-2.00%	-0.70%	"1,024"	-20.60%	6.10%	"1,200"	-16.40%	-1.10%	"4,728"	-3.60%	-13.20%	51	-3	-11	96.90%	0.40%	0.30%
"San Antonio, TX"	10/1/2012	$145K	-1.40%	3.50%	"1,023"	-0.10%	22.10%	"1,261"	5.10%	1.90%	"4,523"	-4.30%	-15.60%	57	6	-17	96.80%	-0.10%	0.90%
"San Antonio, TX"	11/1/2012	$148K	2.10%	9.60%	994	-2.80%	27.80%	"1,079"	-14.40%	-3.20%	"4,289"	-5.20%	-18.30%	56	-1	-15	96.70%	-0.10%	0.80%
"San Antonio, TX"	12/1/2012	$152K	2.70%	4.90%	962	-3.20%	7.70%	844	-21.80%	4.30%	"4,037"	-5.90%	-17.00%	63	7	-10	96.20%	-0.50%	0.30%
"San Antonio, TX"	1/1/2013	$140K	-7.90%	3.40%	797	-17.20%	24.50%	"1,218"	44.30%	3.50%	"4,001"	-0.90%	-16.00%	67	4	-13	96.60%	0.30%	0.80%
"San Antonio, TX"	2/1/2013	$150K	7.10%	5.10%	877	10.00%	9.40%	"1,368"	12.30%	1.60%	"4,004"	0.10%	-15.50%	70	3	-9	96.70%	0.20%	0.60%
"San Antonio, TX"	3/1/2013	$150K	0.00%	2.80%	"1,187"	35.30%	14.10%	"1,678"	22.70%	1.60%	"4,069"	1.60%	-15.90%	55	-15	-23	96.90%	0.20%	0.50%
